IntStdWv,Sample,Si29_CPS,Ca_ppm_m43,43CaO wt%,Ca_ppm_m44,44CaO wt%,Ti_ppm_m49,49TiO2,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
,Percent deviation from GEOREM,,,100,,100,,,,100,98,99,98,97,,100,101,98,99,99,99,100,100,99,95,100,99,99,96,98,100,99,97,101,98,99,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3,ATHO-G - 1,2210000,11800,1.65,11490,1.61,1454,0.24,35.9,22.4,61.6,91.7,87.9,464,485,53,1.1,539,52.7,113.6,14.2,55.8,14.4,2.3,12.4,2.3,15.9,3.3,9.2,1.5,9.3,1.5,13,3.4,5.1,6.9,2.3
35.3,ATHO-G - 2,2210000,12330,1.73,11360,1.59,1430,0.24,36,20.9,59.2,90.2,85.6,450,467,52.3,1.2,521,50.6,109.2,13.9,57.9,13.7,2.5,12.7,2.3,14.1,3,9.1,1.5,9.6,1.3,12.2,3.2,4.7,7,2.2
35.3,ATHO-G - 3,2140000,11360,1.59,11800,1.65,1435,0.24,34.2,21.2,59.7,89.9,87.1,456,470,53.2,1,520,51.9,110.8,13.6,54.5,13,2,14.1,2.3,13.6,3.2,9.6,1.3,9.6,1.4,11.3,3.2,4.8,6.8,2.2
35.3,ATHO-G - 4,1890000,11930,1.67,11470,1.6,1484,0.25,37.6,22,61.1,91.3,89.3,466,473,54.1,1.1,530,53.2,113.5,13.9,56,11.2,2.6,13.4,2.3,13.7,3.3,10.1,1.4,9.7,1.4,12.4,3.1,4.9,6.6,2.1
35.3,ATHO-G - 5,1453000,11800,1.65,11550,1.62,1440,0.24,36,22.3,61.9,87.6,84.4,448,448,56.4,1.2,518,51.8,114,13.3,55.1,11.7,2.2,16.4,2.4,16.1,3.1,8.3,1.4,8.9,1.5,12.1,3.2,5,7.1,2.1
35.3,ATHO-G - 6,1820000,11600,1.62,11720,1.64,1529,0.26,37.9,20.8,62.1,88.8,84.7,461,468,53.7,1,535,51.9,113.5,13.9,57.8,14.7,3,14.7,2.2,14.3,3.5,9.7,1.3,8.7,1.4,13.1,3.3,4.9,7.5,2.2
35.3,ATHO-G - 7,1742000,11770,1.65,11370,1.59,1494,0.25,36.3,20.3,63.6,88,83.9,466,462,53.8,1,511,50.8,111.2,13.3,55.5,13.1,2.6,14.4,2.1,14.6,3,9.3,1.4,9,1.2,13,3,4.9,7.4,2.3
35.3,ATHO-G - 8,1730000,12060,1.69,11500,1.61,1519,0.25,37.8,23.3,63.1,88.8,85.5,455,469,52.9,1.1,511,52.7,112.3,13.8,59.1,15.1,2.4,14.1,2.3,14.1,3.3,10,1.5,10.5,1.3,11.6,2.9,5.4,6.5,2.2
